candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Tucker, Sally",House,21,Republican,0.0,805.0,805.0,155.0,650.0,3,05/15/2020,2020-05-21
"Smith, Tench  J",House,47,Republican,16200.0,0.0,16200.0,919.64,15280.36,3,05/15/2020,2020-05-21
"McKamey, Wendy",House,19,Republican,0.0,5820.0,5820.0,0.0,5820.0,5,05/15/2020,2020-05-21
"Foster, Ralph  C",House,93,Republican,0.0,0.0,0.0,0.0,0.0,3,05/14/2020,2020-05-21
"Rivera, Dennison  J",House,79,Republican,0.0,0.0,0.0,0.0,0.0,3,05/14/2020,2020-05-21
"Dunn, David  W",House,09,Republican,0.0,2420.01,2420.01,2323.69,96.32,5,05/15/2020,2020-05-21
"Vermillion, Dan  D",House,59,Democrat,505.0,0.0,505.0,17.0,488.0,3,05/15/2020,2020-05-21
"Dennis, Terry  D",House,44,Democrat,4190.0,0.0,4190.0,1281.75,2908.25,3,05/14/2020,2020-05-21
"Vaught, Rick  L",Senate,31,Republican,0.0,0.0,0.0,0.0,0.0,1,03/15/2020,2020-05-21
"Peterson, Charles   J",House,36,Republican,0.0,458.25,458.25,380.5,77.75,3,05/15/2020,2020-05-21
